genre,movie_title
Action,"Hansel & Gretel: Witch Hunters"
Action,"The Last Samurai"
Action,"Mission: Impossible II"
Action,"Indiana Jones and the Temple of Doom"
Action,"Wild Target"
Action,"Spectre"
Action,"Straw Dogs"
Action,"Suicide Squad"
Action,"Harry Potter and the Deathly Hallows: Part II"
Action,"Bad Boys"
Action,"Criminal"
Action,"Reindeer Games"
Action,"Mighty Joe Young"
Action,"300: Rise of an Empire"
Action,"Dawn of the Dead"
Action,"Dawn of the Dead"
Action,"on Flux"
Action,"After the Sunset"
Action,"Tank Girl"
Action,"American Heist"
Action,"The Mummy: Tomb of the Dragon Emperor"
Action,"Casino Royale"
Action,"Casino Royale"
Action,"Romeo Must Die"
Action,"Small Soldiers"
Action,"Jurassic World"
Action,"Conspiracy Theory"
Action,"Teenage Mutant Ninja Turtles: Out of the Shadows"
Action,"Abraham Lincoln: Vampire Hunter"
Action,"Buffy the Vampire Slayer            "
Action,"Kiss of the Dragon"
Action,"The International"
Action,"The Forbidden Kingdom"
Action,"King Kong"
Action,"King Kong"
Action,"King Kong"
Action,"Need for Speed"
Action,"Sucker Punch"
Action,"Elektra"
Action,"Spawn"
Action,"Cradle 2 the Grave"
Action,"The Purge: Anarchy"
Action,"Here Comes the Boom"
Action,"Punisher: War Zone"
Action,"Deep Rising"
Action,"Gladiator"
Action,"The Lord of the Rings: The Return of the King"
Action,"Star Trek: Generations"
Action,"D.E.B.S."
Action,"Star Trek: First Contact"
Action,"The Warlords"
Action,"Hero"
Action,"Hero"
Action,"Star Trek: Insurrection"
Action,"We Were Soldiers"
Action,"Man of the House"
Action,"Lethal Weapon 4"
Action,"The Adventures of Pluto Nash"
Action,"Fled"
Action,"Spartacus: War of the Damned            "
Action,"Exit Wounds"
Action,"Underworld: Awakening"
Action,"The 6th Day"
Action,"The Incredible Hulk"
Action,"Ant-Man"
Action,"Domino"
Action,"Eagle Eye"
Action,"'Batman: The Dark Knight Returns"
Action,"Warcraft"
Action,"Street Fighter"
Action,"Pearl Harbor"
Action,"Defiance            "
Action,"Bandidas"
Action,"Inspector Gadget"
Action,"Action Jackson"
Action,"Capricorn One"
Action,"The Kingdom"
Action,"Dracula Untold"
Action,"Ride Along 2"
Action,"Vampires"
Action,"Volcano"
Action,"Revolution            "
Action,"Puss in Boots"
Action,"Tomorrowland"
Action,"Torque"
Action,"Zoom"
Action,"Avatar"
Action,"The Heat"
Action,"Next Day Air"
Action,"The Sweeney"
Action,"Red State"
Action,"Fortress"
Action,"Predator 2"
Action,"The League of Extraordinary Gentlemen"
Action,"Pride and Prejudice and Zombies"
Action,"Dark City"
Action,"Freddy vs. Jason"
Action,"The Adventures of Tintin"
Action,"True Lies"
Action,"George of the Jungle"
Action,"Spy Kids"
Action,"Ladder 49"
Action,"Eragon"
Action,"DOA: Dead or Alive"
Action,"Tombstone"
Action,"Red Tails"
Action,"Flight of the Phoenix"
Action,"Dance Flick"
Action,"The Postman"
Action,"Stargate: The Ark of Truth"
Action,"Aliens vs. Predator: Requiem"
Action,"Spy Kids: All the Time in the World in 4D"
Action,"Miss Congeniality 2: Armed and Fabulous"
Action,"Legend of the Guardians: The Owls of Ga'Hoole"
Action,"Dead Man Down"
Action,"Predators"
Action,"Aliens"
Action,"Predator"
Action,"Megiddo: The Omega Code 2"
Action,"See Spot Run"
Action,"Cats & Dogs"
Action,"Extreme Ops"
Action,"Beverly Hills Cop II"
Action,"'It's a Mad"
Action,"Never Back Down"
Action,"Charlie's Angels: Full Throttle"
Action,"The Player            "
Action,"Universal Soldier: The Return"
Action,"Battle Los Angeles"
Action,"Transformers: Age of Extinction"
Action,"Mystery Men"
Action,"Kill Bill: Vol. 1"
Action,"A Most Violent Year"
Action,"Point Break"
Action,"Point Break"
Action,"Cloverfield"
Action,"Turbulence"
Action,"The Devil's Tomb"
Action,"Tales from the Crypt: Demon Knight"
Action,"Clockstoppers"
Action,"The Specials"
Action,"End of Days"
Action,"Legion"
Action,"Red Dawn"
Action,"The Glimmer Man"
Action,"The Phantom"
Action,"Wicked Blood"
Action,"The Collection"
Action,"Mortal Kombat"
Action,"Tower Heist"
Action,"The Art of War"
Action,"Three Kings"
Action,"Agent Cody Banks 2: Destination London"
Action,"Osmosis Jones"
Action,"Anaconda"
Action,"Deep Blue Sea"
Action,"Skyline"
Action,"Harley Davidson and the Marlboro Man"
Action,"Never Back Down 2: The Beatdown"
Action,"Set It Off"
Action,"Paycheck"
Action,"Hellboy II: The Golden Army"
Action,"Cutthroat Island"
Action,"The Terminator"
Action,"13 Hours"
Action,"Paul Blart: Mall Cop 2"
Action,"The Finest Hours"
Action,"'Big Mommas: Like Father"
Action,"The Hit List"
Action,"Beverly Hills Cop"
Action,"Eraser"
Action,"Firestarter"
Action,"The Spy Next Door"
Action,"Colombiana"
Action,"Vertical Limit"
Action,"The Last Dragon"
Action,"Ishtar"
Action,"Basic"
Action,"The Big Hit"
Action,"Cats & Dogs: The Revenge of Kitty Galore"
Action,"Lake Placid"
Action,"Death Sentence"
Action,"One for the Money"
Action,"Ironclad"
Action,"Madagascar: Escape 2 Africa"
Action,"Rogue            "
Action,"Dragon Wars: D-War"
Action,"Superhero Movie"
Action,"The Covenant"
Action,"Robin Hood"
Action,"Independence Day: Resurgence"
Action,"AVP: Alien vs. Predator"
Action,"Transformers: Revenge of the Fallen"
Action,"I Am Wrath"
Action,"Rampage"
Action,"Commando"
Action,"A Low Down Dirty Shame"
Action,"Around the World in 80 Days"
Action,"Around the World in 80 Days"
Action,"Blade"
Action,'I
Action,"RoboCop 3"
Action,"Assault on Precinct 13"
Action,"Payback"
Action,"Catwoman"
Action,"Smilla's Sense of Snow"
Action,"Steel"
Action,"Alien: Resurrection"
Action,"Foodfight!"
Action,"Falcon Rising"
Action,"The Replacement Killers"
Action,"Aqua Teen Hunger Force Colon Movie Film for Theaters"
Action,"Jason X"
Action,"High Heels and Low Lifes"
Action,"Agent Cody Banks"
Action,"The November Man"
Action,"The Last Castle"
Action,"Superman IV: The Quest for Peace"
Action,"Undercover Brother"
Action,"Howard the Duck"
Action,"Underworld: Evolution"
Action,"Blue Streak"
Action,"Big Hero 6"
Action,"Highlander: The Final Dimension"
Action,"Tomorrow Never Dies"
Action,"Keanu"
Action,"Paul Blart: Mall Cop"
Action,"Logan's Run"
Action,"A View to a Kill"
Action,"BloodRayne"
Action,"Repo Men"
Action,"Executive Decision"
Action,"Paparazzi"
Action,"Broken Arrow"
Action,"Superman II"
Action,"Batman Returns"
Action,"The Musketeer"
Action,"Chain of Command"
Action,"Checkmate"
Action,"Undisputed"
Action,"Batman Forever"
Action,"Gunless"
Action,"Wind Walkers"
Action,"The Legend of Zorro"
Action,"The Last Airbender"
Action,"Serenity"
Action,"Navy Seals vs. Zombies"
Action,"Machete Kills"
Action,"Terminator 2: Judgment Day"
Action,"Automata"
Action,"Skin Trade"
Action,"12 Rounds"
Action,"The Adventures of Ford Fairlane"
Action,"Planet of the Apes"
Action,"Planet of the Apes"
Action,"Highlander: Endgame"
Action,"Rollerball"
Action,"Arn: The Knight Templar"
Action,"The Good Thief"
Action,"Code of Honor"
Action,"Four Brothers"
Action,"Anacondas: The Hunt for the Blood Orchid"
Action,"Perrier's Bounty"
Action,"The Nutcracker in 3D"
Action,"Batman"
Action,"Austin Powers in Goldmember"
Action,"The Shadow"
Action,"DragonHeart"
Action,"One Man's Hero"
Action,"Stealth"
Action,"Code Name: The Cleaner"
Action,"Batman & Robin"
Action,"Teenage Mutant Ninja Turtles"
Action,"Teenage Mutant Ninja Turtles"
Action,"The Perfect Storm"
Action,"Spy Hard"
Action,"Mars Needs Moms"
Action,"District 9"
Action,"A Lonely Place to Die"
Action,"The Crow"
Action,"MacGruber"
Action,"Team America: World Police"
Action,"Snakes on a Plane"
Action,"Snakes on a Plane"
Action,"Flash Gordon"
Action,"Transformers: Dark of the Moon"
Action,"Monsters vs. Aliens"
Action,"The Hunt for Red October"
Action,"Jurassic Park III"
Action,"The Blues Brothers"
Action,"Double Take"
Action,"The Bodyguard"
Action,"Behind Enemy Lines"
Action,"Soldier"
Action,"Die Another Day"
Action,"Money Talks"
Action,"Watchmen"
Action,"The Scorch Trials"
Action,"The Dead Undead"
Action,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze"
Action,"Wing Commander"
Action,"The Watch"
Action,"The Watch"
Action,"Harry Brown"
Action,"Road House"
Action,"Conan the Destroyer"
Action,"The Purge: Election Year"
Action,"Alex Cross"
Action,"Shadow Conspiracy"
Action,"Nothing to Lose"
Action,"Dune"
Action,"The Omega Code"
Action,"Bulletproof Monk"
Action,"Last Action Hero"
Action,"Taxman"
Action,"Showdown in Little Tokyo"
Action,"Kindergarten Cop"
Action,"Harper"
Action,"Rockaway"
